,#,Country,ISO,Name,SEZ Present,SEZ Name,SEZ VAT Treatment,SEZ CIT Rate,Local Licensing Fee,Land Ownership Rules,Statutory CIT (National),Subnational CIT Adjustment,Effective CIT in SEZ,Other Local Taxes,Tax Administration Complexity,Political Stability,Security Risk,Governance Quality,Next Subnational Election,Ruling Party Alignment,US Economic Influence,Chinese Economic Influence,Key Foreign Investors,Strategic Importance,Major Industries,Export Orientation,Infrastructure Quality,Labor Cost Level,Time to Start Business,Permitting Speed,Inspection Intensity,Judicial Efficiency,Regulatory Predictability,Incentive Reliability,Incentive Negotiability,Incentive Transparency,Electricity Cost,Power Reliability,Water Availability,Distance to Port (Time),Port Efficiency,Customs Clearance Time,Rail Connectivity,Labor Availability,Skill Level,Unionization Level,Turnover Rate,Language Capability,Industry Clusters,Supplier Ecosystem Depth,Multinational Presence,University / R&D Access,Industrial Land Cost,Land Availability,Zoning Flexibility,Land Acquisition Risk,Crime Impact on Business,Corruption Level,Cargo Theft Risk,Political Violence Risk,Market Access Proximity,Trade Corridor Access,Border Friction,FTA Utilization,Reform Momentum,Government Priority Status,Industrial Policy Focus,Single Window Effectiveness,Bureaucratic Discretion,Relationship vs Rules Based,Environmental Enforcement,Carbon Policy Exposure,Sustainability Constraints,Community Opposition Risk
1,1,South Africa,ZA,Eastern Cape,Yes,Coega IDZ/SEZ (Nelson Mandela Bay),VAT suspension on inputs in Customs Controlled Area (CCA); SARS-administered. Source: SEZ Act 16/2014; SARS,15% CIT for qualifying companies in approved CCA. Source: SEZ Act 16/2014; DTIC 2024,"Municipal operating licence required under Business Act 71/1991. Fee set by municipality; typically ZAR 500–3,000/yr for general commercial. East London municipality mid-range. Source: Business Act 71/1991; DTIC; Eastern Cape municipalities",Freehold available; mixed with significant communal tenure in former homeland areas,0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium,Medium,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Automotive hub,"Automotive, manufacturing",High,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Medium,Medium,Medium–Low,Medium,Medium,High,Medium–Low,High,Medium,High (English),Medium,Medium,High,Medium,Low–Medium,High,Medium,Medium,Medium,Medium,Medium,Low–Medium,Medium,Medium,Low,Medium,Medium–Low,Medium,Automotive,Medium–Low,High,Mixed,Medium,High,Medium,Medium
2,2,South Africa,ZA,Free State,Yes,Maluti-a-Phofung SEZ (Qwa Qwa),VAT suspension on qualifying supplies in CCA. Source: SARS; SEZ Act 16/2014,15% CIT for qualifying companies in approved CCA. Source: SEZ Act 16/2014; DTIC 2024,"Municipal operating licence. Mangaung (Bloemfontein) mid-range; smaller municipalities lower. Typical ZAR 500–2,000/yr. Source: Business Act 71/1991; Mangaung Metro by-laws",Primarily freehold. Rural communal tenure limited,0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium,Medium,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Regional economy,"Mining, agriculture, manufacturing",High,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Medium,Medium,Information unavailable,Medium,Medium,High,Medium,High,Medium,High (English),Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low–Medium,Medium,Medium,Low,Medium,Medium,Medium,Mixed,Medium,Medium,Mixed,Medium,High,Medium,Medium
3,3,South Africa,ZA,Gauteng,Yes,Tshwane Automotive SEZ (City of Tshwane); OR Tambo International SEZ (Ekurhuleni),VAT suspension in CCA. Source: SARS; SEZ Act 16/2014,15% CIT for qualifying companies. Source: SEZ Act 16/2014; DTIC 2024,"Municipal operating licence. Johannesburg/Tshwane highest in country: ZAR 2,000–10,000+/yr depending on sector/size. City of Johannesburg tariff schedule 2024/25. Source: Business Act 71/1991; City of Johannesburg Revenue By-laws 2024",Primarily freehold and leasehold (urban),0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium–High,Medium–High,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Economic core,"Finance, manufacturing, services, HQs",High,High,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Medium,High,Information unavailable,Medium,High,Very High,High,High,High,High (English),Very High,Very High,Very High,High,High,Low,Medium,Medium,High,Medium,High,Low–Medium,Very High,High,Low,Medium,Medium,High,"Finance, manufacturing",Medium,Medium,Mixed,Medium–High,High,Medium,Medium
4,4,South Africa,ZA,KwaZulu-Natal,Yes,Richards Bay IDZ/SEZ; Dube TradePort SEZ (north of Durban),VAT suspension in CCA on qualifying supplies. Source: SARS; SEZ Act 16/2014,15% CIT for qualifying companies. Source: SEZ Act 16/2014; DTIC 2024,"Municipal operating licence. eThekwini (Durban) mid-to-high range; smaller municipalities lower. Typical ZAR 1,000–6,000/yr. eThekwini Business Licensing By-law 2024 sets framework. Source: eThekwini Business Licensing By-law 2024",Mixed freehold; ~2.8m ha under Ingonyama Trust (leasehold only). Note: 2022 SCA ruling declared Ingonyama Trust residential lease programme unlawful; litigation risk for investors,0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium–High,Medium,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Port hub (Durban),"Logistics, petrochemicals, manufacturing",High,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–Low,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Medium,Low,Low,Medium–Slow,Medium,High,Medium,High,High,High (English),High,High,High,Medium,Medium,Medium,Medium,Medium–High,High,Medium–High,High,Medium–High,High,Very High,Low,Medium,Medium,High,"Logistics, manufacturing",Medium–Low,High,Relationship-based,Medium,High,Medium,Medium–High
5,5,South Africa,ZA,Limpopo,Yes,Musina-Makhado SEZ (designated 2021); Fetakgomo-Tubatse SEZ (pre-designation phase as of 2024),VAT suspension in CCA (Musina-Makhado designated 2021). Source: SARS; DTIC 2024,15% CIT for qualifying companies in approved zones. Source: SEZ Act 16/2014; DTIC Nov 2024 briefing,"Municipal operating licence. Polokwane and smaller municipalities. Typical ZAR 500–2,500/yr. Source: Business Act 71/1991; Polokwane Municipality by-laws",Mixed freehold and communal tenure,0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium,Medium,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Regional economy,"Mining, agriculture, manufacturing",High,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Medium,Medium,Information unavailable,Medium,Medium,High,Medium,High,Medium,High (English),Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low–Medium,Medium,Medium,Low,Medium,Medium,Medium,Mixed,Medium,Medium,Mixed,Medium,High,Medium,Medium
6,6,South Africa,ZA,Mpumalanga,Yes,Nkomazi SEZ (designated 2019; establishment phase),VAT suspension in CCA upon operationalisation. Source: DTIC; SEZ Act 16/2014,15% CIT for qualifying companies once CCA operational. Source: SEZ Act 16/2014; PMG 2025,"Municipal operating licence. Mbombela (Nelspruit) mid-range. Typical ZAR 500–2,500/yr. Source: Business Act 71/1991; Mbombela Municipality",Primarily freehold,0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium,Medium,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Regional economy,"Mining, agriculture, manufacturing",High,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Medium,Medium,Information unavailable,Medium,Medium,High,Medium,High,Medium,High (English),Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low–Medium,Medium,Medium,Low,Medium,Medium,Medium,Mixed,Medium,Medium,Mixed,Medium,High,Medium,Medium
7,7,South Africa,ZA,North West,No,No designated SEZ in North West as of 2024. Bojanala SEZ proposed but not yet designated. Source: DTIC Nov 2024 briefing,Information unavailable,N/A. Standard 27% CIT applies. Source: DTIC Nov 2024 briefing,"Municipal operating licence. Rustenburg mid-range. Typical ZAR 500–2,500/yr. Source: Business Act 71/1991",Mixed; former Bophuthatswana homeland areas retain communal tenure,0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium,Medium,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Regional economy,"Mining, agriculture, manufacturing",High,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Medium,Medium,Information unavailable,Medium,Medium,High,Medium,High,Medium,High (English),Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low–Medium,Medium,Medium,Low,Medium,Medium,Medium,Mixed,Medium,Medium,Mixed,Medium,High,Medium,Medium
8,8,South Africa,ZA,Northern Cape,No,No designated SEZ in Northern Cape as of 2024. Namakwa SEZ proposed; ministerial review in progress. Source: DTIC Nov 2024 briefing,Information unavailable,N/A. Standard 27% CIT applies. Source: DTIC Nov 2024 briefing,"Municipal operating licence. Sol Plaatje (Kimberley) and smaller municipalities. Typical ZAR 300–1,500/yr. Source: Business Act 71/1991",Primarily freehold,0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium,Medium,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Mining and renewables,"Mining, solar energy",High,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Low–Medium,Low,High,Information unavailable,Medium,Low,Low,Low–Medium,High,Low,High (English),Medium,Low,Low–Medium,Low,Low,Very High,High,Low,Low,Low–Medium,Low,Low,Medium,Low,Low,Medium,Medium,Medium,"Mining, renewables",Medium,Medium,Mixed,Medium,High,Low–Medium,Low
9,9,South Africa,ZA,Western Cape,Yes,Saldanha Bay IDZ/SEZ; Atlantis SEZ,VAT suspension in CCA. Source: SARS; SEZ Act 16/2014,15% CIT for qualifying companies in approved CCAs. Note: National Treasury sunset clause on SEZ incentives set for 2031. Source: DTIC 2024; PMG Nov 2024,"Municipal operating licence. City of Cape Town mid-to-high; smaller municipalities lower. Typical ZAR 1,000–8,000/yr. Source: Business Act 71/1991; City of Cape Town fees by-law 2024",Primarily freehold,0.27,Information unavailable,0.15,"Payroll taxes, municipal rates",Medium,High,Medium,High,2026,ANC-dominated (varies locally),Medium,High,"China, EU, US",Export/logistics hub,"Agriculture exports, tech, tourism, services",High,High,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Information unavailable,High,Medium,Medium–High,Low,Medium,Medium,Medium,Medium,High,High,Medium,High (English),High,High,High,High,High,Medium,High,Medium,Medium,Low–Medium,Medium,Low,High,High,Low,Medium,High,High,"Green tech, exports, services",High,Low–Medium,Rules-based,High,High,Medium,Medium
10,10,Nigeria,NG,Abia State,No,No NEPZA free zone in Abia as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: NEPZA 2024,"State Business Premises Levy + LGA development levy. Estimated NGN 50,000–200,000/yr for mid-size enterprise; informal fees above formal rate common. Source: Business Premises Registration Act (Cap B17); KPMG Nigeria; US State Dept 2024",State leasehold only (99-yr CoO); Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low–Medium,Medium,Medium,Low,Low,"Agriculture, informal economy",Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
