"#","Country","ISO","Name","SEZ Present","SEZ Name","SEZ VAT Treatment","SEZ CIT Rate","Local Licensing Fee","Land Ownership Rules"
"1","South Africa","ZA","Eastern Cape","Yes","Coega IDZ/SEZ (Nelson Mandela Bay)","VAT suspension on inputs in Customs Controlled Area (CCA); SARS-administered. Source: SEZ Act 16/2014; SARS","15% CIT for qualifying companies in approved CCA. Source: SEZ Act 16/2014; DTIC 2024","Municipal operating licence required under Business Act 71/1991. Fee set by municipality; typically ZAR 500–3,000/yr for general commercial. East London municipality mid-range. Source: Business Act 71/1991; DTIC; Eastern Cape municipalities","Freehold available; mixed with significant communal tenure in former homeland areas"
"2","South Africa","ZA","Free State","Yes","Maluti-a-Phofung SEZ (Qwa Qwa)","VAT suspension on qualifying supplies in CCA. Source: SARS; SEZ Act 16/2014","15% CIT for qualifying companies in approved CCA. Source: SEZ Act 16/2014; DTIC 2024","Municipal operating licence. Mangaung (Bloemfontein) mid-range; smaller municipalities lower. Typical ZAR 500–2,000/yr. Source: Business Act 71/1991; Mangaung Metro by-laws","Primarily freehold. Rural communal tenure limited"
"3","South Africa","ZA","Gauteng","Yes","Tshwane Automotive SEZ (City of Tshwane); OR Tambo International SEZ (Ekurhuleni)","VAT suspension in CCA. Source: SARS; SEZ Act 16/2014","15% CIT for qualifying companies. Source: SEZ Act 16/2014; DTIC 2024","Municipal operating licence. Johannesburg/Tshwane highest in country: ZAR 2,000–10,000+/yr depending on sector/size. City of Johannesburg tariff schedule 2024/25. Source: Business Act 71/1991; City of Johannesburg Revenue By-laws 2024","Primarily freehold and leasehold (urban)"
"4","South Africa","ZA","KwaZulu-Natal","Yes","Richards Bay IDZ/SEZ; Dube TradePort SEZ (north of Durban)","VAT suspension in CCA on qualifying supplies. Source: SARS; SEZ Act 16/2014","15% CIT for qualifying companies. Source: SEZ Act 16/2014; DTIC 2024","Municipal operating licence. eThekwini (Durban) mid-to-high range; smaller municipalities lower. Typical ZAR 1,000–6,000/yr. eThekwini Business Licensing By-law 2024 sets framework. Source: eThekwini Business Licensing By-law 2024","Mixed freehold; ~2.8m ha under Ingonyama Trust (leasehold only). Note: 2022 SCA ruling declared Ingonyama Trust residential lease programme unlawful; litigation risk for investors"
"5","South Africa","ZA","Limpopo","Yes","Musina-Makhado SEZ (designated 2021); Fetakgomo-Tubatse SEZ (pre-designation phase as of 2024)","VAT suspension in CCA (Musina-Makhado designated 2021). Source: SARS; DTIC 2024","15% CIT for qualifying companies in approved zones. Source: SEZ Act 16/2014; DTIC Nov 2024 briefing","Municipal operating licence. Polokwane and smaller municipalities. Typical ZAR 500–2,500/yr. Source: Business Act 71/1991; Polokwane Municipality by-laws","Mixed freehold and communal tenure"
"6","South Africa","ZA","Mpumalanga","Yes","Nkomazi SEZ (designated 2019; establishment phase)","VAT suspension in CCA upon operationalisation. Source: DTIC; SEZ Act 16/2014","15% CIT for qualifying companies once CCA operational. Source: SEZ Act 16/2014; PMG 2025","Municipal operating licence. Mbombela (Nelspruit) mid-range. Typical ZAR 500–2,500/yr. Source: Business Act 71/1991; Mbombela Municipality","Primarily freehold"
"7","South Africa","ZA","North West","No","No designated SEZ in North West as of 2024. Bojanala SEZ proposed but not yet designated. Source: DTIC Nov 2024 briefing","NA","N/A. Standard 27% CIT applies. Source: DTIC Nov 2024 briefing","Municipal operating licence. Rustenburg mid-range. Typical ZAR 500–2,500/yr. Source: Business Act 71/1991","Mixed; former Bophuthatswana homeland areas retain communal tenure"
"8","South Africa","ZA","Northern Cape","No","No designated SEZ in Northern Cape as of 2024. Namakwa SEZ proposed; ministerial review in progress. Source: DTIC Nov 2024 briefing","NA","N/A. Standard 27% CIT applies. Source: DTIC Nov 2024 briefing","Municipal operating licence. Sol Plaatje (Kimberley) and smaller municipalities. Typical ZAR 300–1,500/yr. Source: Business Act 71/1991","Primarily freehold"
"9","South Africa","ZA","Western Cape","Yes","Saldanha Bay IDZ/SEZ; Atlantis SEZ","VAT suspension in CCA. Source: SARS; SEZ Act 16/2014","15% CIT for qualifying companies in approved CCAs. Note: National Treasury sunset clause on SEZ incentives set for 2031. Source: DTIC 2024; PMG Nov 2024","Municipal operating licence. City of Cape Town mid-to-high; smaller municipalities lower. Typical ZAR 1,000–8,000/yr. Source: Business Act 71/1991; City of Cape Town fees by-law 2024","Primarily freehold"
"10","Nigeria","NG","Abia","No","No NEPZA free zone in Abia as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT applies. Source: NEPZA 2024","State Business Premises Levy + LGA development levy. Estimated NGN 50,000–200,000/yr for mid-size enterprise; informal fees above formal rate common. Source: Business Premises Registration Act (Cap B17); KPMG Nigeria; US State Dept 2024","State leasehold only (99-yr CoO); Land Use Act 1978"
